lat,lon,l3_OSM,l4_OSM
-34.5736231,-58.4423994,Colegiales,
-34.63177,-58.420737,Boedo,
-34.607225,-58.429983,Almagro,
-34.599623,-58.4040541,Balvanera,
-34.6272681,-58.4309096,Caballito,
-34.606149,-58.398942,Balvanera,Once
-34.584208,-58.472391,Villa Ortúzar,
-34.571899,-58.48858,Villa Urquiza,
-34.5924844,-58.4112957,Recoleta,
-34.584219,-58.420144,Palermo,Alto Palermo
-34.5957203,-58.4532069,Chacarita,
-34.608817,-58.449111,Caballito,
-34.5916303,-58.4227031,Palermo,Palermo Soho
-34.6004697,-58.4311921,Villa Crespo,
-34.552412,-58.497804,Saavedra,
-34.611806655,-58.431494236,Caballito,
-34.603097,-58.488707,Villa del Parque,
-34.5741577173,-58.4820872386,Villa Urquiza,
-34.5617029,-58.4513592,Belgrano,Barrio Chino
-34.6598367,-58.5168364,Mataderos,Naon
-34.5815742,-58.4484207,Chacarita,
-34.6145394,-58.4202848,Almagro,
-34.549306,-58.4776807,Saavedra,
-34.60253,-58.436304,Villa Crespo,
-34.5636716,-58.4686134,Belgrano,Belgrano R
-34.6245155,-58.4660831,Flores,
-34.63687897,-58.48834229,Vélez Sarsfield,
-34.5742274,-58.4803465,Villa Urquiza,
-34.621284,-58.444037,Caballito,
-34.5659686,-58.4708118,Belgrano,Belgrano R
-34.5673304,-58.484254,Villa Urquiza,
-34.640337,-58.423579,Nueva Pompeya,
-34.6149368311,-58.4596874613,Flores,
-34.6281320078,-58.4293082771,Parque Chacabuco,
-34.5548233,-58.44961,Belgrano,Barrio Chino
-34.553543,-58.471663,Núñez,
-34.6234372,-58.3842777,Constitución,
-34.6269422,-58.4915273,Vélez Sarsfield,
-34.5663089,-58.4355032,Palermo,Las Cañitas
-34.63076,-58.486473,Vélez Sarsfield,
-34.5642355,-58.4603611,Belgrano,Belgrano R
-34.6912509,-58.4690478,Villa Riachuelo,
-34.5877746,-58.406301,Recoleta,
-34.6169345,-58.4653526,Flores,
-34.6153363,-58.396258,Balvanera,
-34.607213,-58.468956,Villa General Mitre,
-34.6223394,-58.5056176,Monte Castro,
-34.62433,-58.449967,Caballito,
-34.55113,-58.483977,Saavedra,
-34.607653,-58.43063,Caballito,
-34.6098753,-58.4213675,Almagro,
-34.6033637189,-58.5078649148,Villa Devoto,
-34.619706,-58.4152009,Almagro,
-34.6251673855,-58.4679922302,Flores,
-34.5822353,-58.472744,Villa Ortúzar,
-34.617171,-58.3902503,Monserrat,
-34.5791632,-58.4557246,Chacarita,
-34.5545188,-58.4915986,Saavedra,
-34.622715,-58.46265,Flores,
-34.625061,-58.452877,Caballito,
-34.5800652,-58.4473845,Colegiales,
-34.6269242,-58.3870246,Constitución,
-34.6311229,-58.4089813,Parque Patricios,
-34.5883996,-58.4786374,Parque Chas,
-34.598576,-58.421183,Almagro,
-34.557462,-58.4488864,Belgrano,Barrio Chino
-34.5876564,-58.4070425,Recoleta,
-34.654383,-58.404601,Nueva Pompeya,
-34.6169345,-58.4653526,Flores,
-34.5667238,-58.4475881,Palermo,Barrio Chino
-34.612754,-58.4132648,Balvanera,
-34.686917,-58.478012,Villa Riachuelo,
-34.6175904,-58.5184978,Villa Devoto,
-34.6298777,-58.405313,Parque Patricios,
-34.605713,-58.515859,Villa Devoto,
-34.6080098,-58.3821628,San Nicolás,
-34.610175,-58.482091,Villa Santa Rita,
-34.5955461,-58.4438668,Villa Crespo,
-34.5503738,-58.4947393,Saavedra,
-34.6151391,-58.420029,Almagro,
-34.5889054057,-58.4098288497,Recoleta,
-34.6518585,-58.4942593333,Mataderos,
-34.5735261,-58.4325156,Palermo,Las Cañitas
-34.5852425,-58.4183139,Palermo,Alto Palermo
-34.5692,-58.4798,Villa Urquiza,
-34.5794880469,-58.4713884347,Villa Ortúzar,
-34.6293293,-58.4546593,Flores,
-34.629768,-58.367377,La Boca,
-34.616603,-58.43714,Caballito,
-34.5986466,-58.4390176,Villa Crespo,
-34.5867231,-58.4096229,Palermo,Alto Palermo
-34.613586,-58.397542,Balvanera,
-34.632240107,-58.482477619,Floresta,
-34.6114447,-58.4209936,Almagro,
-34.6183454,-58.4453823,Caballito,
-34.57378387,-58.43795013,Palermo,Las Cañitas
-34.6156333,-58.3873528,Monserrat,
-34.624833,-58.434729,Caballito,
-34.6071634,-58.4018917,Balvanera,Once
-34.5898379367,-58.3962676894,Recoleta,La Isla
-34.6345127,-58.4347246,Parque Chacabuco,
-34.5999483,-58.4256123,Almagro,
-34.617909,-58.449227,Caballito,
-34.6104898,-58.4431569,Caballito,
-34.565388,-58.481374,Villa Urquiza,
-34.5732622,-58.4992811,Villa Urquiza,
-34.577691,-58.472182,Villa Ortúzar,
-34.6009807,-58.4109009,Balvanera,Abasto
-34.6296804,-58.5192685,Versalles,
-34.596534,-58.380961,Retiro,
-34.5810083,-58.4493283,Colegiales,
-34.6349498163,-58.3904284286,Parque Patricios,
-34.63576,-58.362397,La Boca,
-34.56871,-58.473026,Villa Urquiza,
-34.6048234,-58.449279,Villa Crespo,
-34.5846981,-58.4425066,Palermo,Palermo Hollywood
-34.6186155,-58.3828666,Constitución,
-34.610481,-58.390686,Monserrat,
-34.597808,-58.43144,Villa Crespo,
-34.5966731,-58.4176202,Palermo,
-34.611083,-58.41038,Balvanera,Once
-34.5631247439,-58.4920062958,Villa Urquiza,
-34.613297,-58.36013,Puerto Madero,
-34.61103,-58.400853,Balvanera,Once
-34.5988276,-58.379314,Retiro,
-34.6228975,-58.4394745,Caballito,
-34.605911,-58.394936,Balvanera,
-34.616698,-58.517757,Villa Devoto,
-34.598834,-58.489155,Villa del Parque,
-34.588302,-58.409532,Recoleta,
-34.60159683,-58.40604401,Balvanera,Abasto
-34.5981708,-58.3782478,Retiro,
-34.6010345182,-58.4340931084,Villa Crespo,
-34.5571139,-58.4459141,Belgrano,Bajo Belgrano
-34.6330650683,-58.3760137804,Barracas,
-34.5662508,-58.4346217,Palermo,Las Cañitas
-34.6087776,-58.4216863,Almagro,
-34.6290077,-58.4585126,Flores,
-34.5513184,-58.4893564,Saavedra,
-34.6417189,-58.368232,La Boca,
-34.5736262,-58.4385378,Palermo,Las Cañitas
-34.5987599,-58.4027099,Recoleta,
-34.565628,-58.4578051,Belgrano,
-34.5731436,-58.4219268,Palermo,Palermo Pacífico
-34.6269242,-58.3870246,Constitución,
-34.576578,-58.435215,Palermo,Palermo Hollywood
-34.616798,-58.4562426,Caballito,
-34.572312,-58.441043,Colegiales,
-34.629907,-58.371691,Barracas,
-34.568883,-58.4438369,Palermo,
-34.583208,-58.444915,Chacarita,
-34.6160666,-58.4455167,Caballito,
-34.653186,-58.477677,Parque Avellaneda,
-34.6217382,-58.4390973,Caballito,
-34.58852,-58.428616,Palermo,Palermo Soho
-34.5866648,-58.422891,Palermo,Palermo Soho
-34.5727654,-58.4781407,Villa Urquiza,
-34.6369832433,-58.4612101429,Flores,
-34.550318,-58.453469,Núñez,
-34.546373,-58.45884,Núñez,
-34.5427503,-58.4601452,Núñez,
-34.597766,-58.389752,Recoleta,
-34.624117,-58.481171,Floresta,
-34.5987294684,-58.3740889481,San Nicolás,
-34.5880671,-58.3904019,Recoleta,La Isla
-34.6048941,-58.3635945,Puerto Madero,
-34.6235384,-58.3990129,San Cristóbal,
-34.5485845651,-58.4719805047,Saavedra,
-34.642654,-58.437939,Parque Chacabuco,
-34.5826105,-58.4697235,Villa Ortúzar,
-34.5419182,-58.4782832,Saavedra,
-34.5960342,-58.4994039,Villa Devoto,
-34.6052198968,-58.4248702436,Almagro,
-34.5901294,-58.4202019,Palermo,Palermo Soho
-34.5582057,-58.4627132,Belgrano,
-34.5819781,-58.430423,Palermo,Palermo Hollywood
-34.625493,-58.375202,San Telmo,
-34.601215,-58.475268,La Paternal,
-34.5678205,-58.4351127,Palermo,Las Cañitas
-34.6120095714,-58.5028391429,Monte Castro,
-34.620239,-58.402153,San Cristóbal,
-34.5566529,-58.4627602,Belgrano,
-34.55440521,-58.45816803,Belgrano,Barrio Chino
-34.6305803,-58.4186335,Boedo,
-34.5655925,-58.4696725,Belgrano,Belgrano R
-34.6422286,-58.5000261,Villa Luro,
-34.6334711,-58.3616855,La Boca,
-34.580577,-58.469985,Villa Ortúzar,
-34.637597,-58.449021,Parque Chacabuco,
-34.583919,-58.466498,Villa Ortúzar,
-34.596764,-58.407288,Recoleta,
-34.639953,-58.438656,Parque Chacabuco,
