indice_tiempo,dolar_estadounidense,dolar_referencia_com_3500
2019-07-01,42.37,42.135
2019-07-02,42.2,42.465
2019-07-03,42.03,42.09
2019-07-04,42.03,41.7583
2019-07-05,41.85,41.98
2019-07-06,41.85,41.98
2019-07-07,41.85,41.98
2019-07-08,41.85,41.98
2019-07-09,41.85,41.98
2019-07-10,41.82,41.8808
2019-07-11,41.7,41.755
2019-07-12,41.6,41.6583
2019-07-13,41.6,41.6583
2019-07-14,41.6,41.6583
2019-07-15,42.4,41.8617
2019-07-16,42.661,42.6333
2019-07-17,42.5,42.52
2019-07-18,42.455,42.345
2019-07-19,42.42,42.4467
2019-07-20,42.42,42.4467
2019-07-21,42.42,42.4467
2019-07-22,42.45,42.4783
2019-07-23,42.66,42.6283
2019-07-24,42.871,42.8083
2019-07-25,43.37,43.245
2019-07-26,43.35,43.2167
2019-07-27,43.35,43.2167
2019-07-28,43.35,43.2167
2019-07-29,43.83,43.755
2019-07-30,43.931,43.8817
2019-07-31,43.87,43.8692
2019-08-01,44.36,44.3233
2019-08-02,44.65,44.7042
2019-08-03,44.65,44.7042
2019-08-04,44.65,44.7042
2019-08-05,45.49,45.4383
2019-08-06,45.299,45.3517
2019-08-07,45.59,45.69
2019-08-08,45.22,45.4117
2019-08-09,45.25,45.4033
2019-08-10,45.25,45.4033
2019-08-11,45.25,45.4033
2019-08-12,53.5,55.75
2019-08-13,55.8,56.3167
2019-08-14,60.4,58.835
2019-08-15,57.25,56.6333
2019-08-16,55,56.435
2019-08-17,55,56.435
2019-08-18,55,56.435
2019-08-19,55,56.435
2019-08-20,54.75,55.3633
2019-08-21,55.02,54.915
2019-08-22,55.09,55.0308
2019-08-23,55.15,55.2683
2019-08-24,55.15,55.2683
2019-08-25,55.15,55.2683
2019-08-26,55.29,55.335
2019-08-27,56.3,55.7133
2019-08-28,58.1,58.075
2019-08-29,57.9,58.2
2019-08-30,59.51,59.075
2019-08-31,59.51,59.075
2019-09-01,59.51,59.075
2019-09-02,59.51,57.0917
2019-09-03,55.98,55.7833
2019-09-04,56,55.935
2019-09-05,56.01,56.0042
2019-09-06,55.82,55.9083
2019-09-07,55.82,55.9083
2019-09-08,55.82,55.9083
2019-09-09,56.02,55.9433
2019-09-10,56.01,56.0683
2019-09-11,56.18,56.105
2019-09-12,56.12,56.18
2019-09-13,56.11,56.1525
2019-09-14,56.11,56.1525
2019-09-15,56.11,56.1525
2019-09-16,56.28,56.2517
2019-09-17,56.51,56.4508
2019-09-18,56.52,56.5025
2019-09-19,56.57,56.6067
2019-09-20,56.67,56.6183
2019-09-21,56.67,56.6183
2019-09-22,56.67,56.6183
2019-09-23,56.921,56.9282
2019-09-24,56.87,56.9367
2019-09-25,57.04,57.0075
2019-09-26,57.21,57.18
2019-09-27,57.32,57.3175
2019-09-28,57.32,57.3175
2019-09-29,57.32,57.3175
2019-09-30,57.595,57.5583
2019-10-01,57.64,57.6967
2019-10-02,57.82,57.8883
2019-10-03,57.735,57.7625
2019-10-04,57.73,57.7133
2019-10-05,57.73,57.7133
2019-10-06,57.73,57.7133
2019-10-07,57.84,57.8725
2019-10-08,57.85,57.8375
2019-10-09,57.99,57.9575
2019-10-10,57.985,57.9828
2019-10-11,58.05,58.05
2019-10-12,58.05,58.05
2019-10-13,58.05,58.05
2019-10-14,58.05,58.05
2019-10-15,58.27,58.235
2019-10-16,58.348,58.3333
2019-10-17,58.319,58.3142
2019-10-18,58.35,58.3447
2019-10-19,58.35,58.3447
2019-10-20,58.35,58.3447
2019-10-21,58.51,58.5217
2019-10-22,58.65,58.6533
2019-10-23,59,58.9367
2019-10-24,59.45,59.3417
2019-10-25,59.99,60.0033
2019-10-26,59.99,60.0033
2019-10-27,59.99,60.0033
