fecha,modelo,predictores,nombre_prueba,score_train,rmse_sol,config
20250528-1457,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['room-bed', 'surface_total', 'precio_xmxbxp', 'precio_xmxbxp_std', 'total-cov', 'sfc_x_bath', 'categoria', 'es_PH', 'bedrooms', 'is_barrio_ok', 'surface_covered', 'bathrooms', 'lat', 'sup_x_room', 'nro_publicaciones', 'precio_estimado', 'rooms', 'lon']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_ph2Casa_filCasa_tr_mal2nan_amb_mal2nan_sfc_precio_xbxmxp_precio_estimado_dropOut,53895.85174292773,101095.40189042196,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2Casa': True, 'filCasa': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': False, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': False, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'precio_xbxmxp': True, 'impPrecio': False, 'precio_estimado': True, 'dropOut': True}"
20250528-1510,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['total-cov', 'surface_total', 'room-bed', 'sfc_x_bath', 'bedrooms', 'precio_estimado', 'rooms', 'categoria', 'nro_publicaciones', 'is_barrio_ok', 'bathrooms', 'precio_xmxbxp', 'es_PH', 'surface_covered', 'sup_x_room', 'lon', 'lat', 'precio_xmxbxp_std']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_ph2Casa_filCasa_tr_mal2nan_amb_mal2nan_sfc_precio_xbxmxp_precio_estimado_dropOut,54649.18963952155,96871.90653641692,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2Casa': True, 'filCasa': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': False, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': False, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'precio_xbxmxp': True, 'impPrecio': False, 'precio_estimado': True, 'dropOut': True, 'minmax': {'rooms': [1, 16], 'bedrooms': [0, 12], 'bathrooms': [1, 8], 'surface_total': [10, 1200], 'surface_covered': [10, 800], 'price': [10000, inf], 'sup_x_room': [15, 100], 'room-bed': [1, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [1000, 3500]}}"
20250528-1533,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['lon', 'bedrooms', 'precio_xmxbxp', 'nro_publicaciones', 'sfc_x_bath', 'bathrooms', 'rooms', 'categoria', 'total-cov', 'surface_covered', 'room-bed', 'precio_xmxbxp_std', 'lat', 'is_barrio_ok', 'surface_total', 'sup_x_room', 'es_PH']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_ph2Casa_filCasa_tr_mal2nan_amb_mal2nan_sfc_precio_xbxmxp_impPrecio_dropOut,53646.69094570208,86055.75174759381,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2Casa': True, 'filCasa': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': False, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': False, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': False, 'dropOut': True, 'minmax': {'rooms': [1, 16], 'bedrooms': [0, 12], 'bathrooms': [1, 8], 'surface_total': [10, 1200], 'surface_covered': [10, 800], 'price': [10000, inf], 'sup_x_room': [15, 100], 'room-bed': [1, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [1000, 3500]}}"
20250528-1535,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['lat', 'precio_xmxbxp', 'sfc_x_bath', 'corrijo_bathrooms', 'surface_total', 'bathrooms', 'precio_xmxbxp_std', 'categoria', 'bedrooms', 'corrijo_rooms', 'total-cov', 'surface_covered', 'is_barrio_ok', 'lon', 'corrijo_bedrooms', 'es_PH', 'nro_publicaciones', 'sup_x_room', 'room-bed', 'rooms']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_ph2Casa_filCasa_tr_mal2nan_amb_impAmbs_mal2nan_sfc_precio_xbxmxp_impPrecio_dropOut,54020.77276235469,67291.16779748209,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2Casa': True, 'filCasa': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': False, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': False, 'dropOut': True, 'minmax': {'rooms': [1, 16], 'bedrooms': [0, 12], 'bathrooms': [1, 8], 'surface_total': [10, 1200], 'surface_covered': [10, 800], 'price': [10000, inf], 'sup_x_room': [15, 100], 'room-bed': [1, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [1000, 3500]}}"
20250528-1536,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['nro_publicaciones', 'es_PH', 'room-bed', 'corrijo_rooms', 'rooms', 'surface_total', 'surface_covered', 'lat', 'lon', 'precio_xmxbxp_std', 'sfc_x_bath', 'sup_x_room', 'categoria', 'bathrooms', 'precio_xmxbxp', 'is_barrio_ok', 'bedrooms', 'total-cov']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_ph2Casa_filCasa_tr_mal2nan_amb_impAmbs_mal2nan_sfc_precio_xbxmxp_impPrecio_dropOut,54058.39051570716,81252.01370548955,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2Casa': True, 'filCasa': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms'], 'mal2nan_sfc': True, 'impSfc': False, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': False, 'dropOut': True, 'minmax': {'rooms': [1, 16], 'bedrooms': [0, 12], 'bathrooms': [1, 8], 'surface_total': [10, 1200], 'surface_covered': [10, 800], 'price': [10000, inf], 'sup_x_room': [15, 100], 'room-bed': [1, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [1000, 3500]}}"
20250528-1537,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['corrijo_rooms', 'es_PH', 'surface_total', 'precio_xmxbxp_std', 'is_barrio_ok', 'sup_x_room', 'categoria', 'nro_publicaciones', 'corrijo_bedrooms', 'bathrooms', 'surface_covered', 'total-cov', 'precio_xmxbxp', 'corrijo_bathrooms', 'bedrooms', 'rooms', 'sfc_x_bath', 'lat', 'lon', 'room-bed']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_ph2Casa_filCasa_tr_mal2nan_amb_impAmbs_mal2nan_sfc_precio_xbxmxp_impPrecio_dropOut,53922.47037351479,67657.61880363022,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2Casa': True, 'filCasa': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': False, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': False, 'dropOut': True, 'minmax': {'rooms': [1, 16], 'bedrooms': [0, 12], 'bathrooms': [1, 8], 'surface_total': [10, 1200], 'surface_covered': [10, 800], 'price': [10000, inf], 'sup_x_room': [15, 100], 'room-bed': [1, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [1000, 3500]}}"
20250528-1538,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['inverti_sups', 'precio_xmxbxp', 'corrijo_bathrooms', 'bedrooms', 'nro_publicaciones', 'sfc_x_bath', 'room-bed', 'lat', 'es_PH', 'imputo_surface_total', 'corrijo_rooms', 'total-cov', 'is_barrio_ok', 'precio_xmxbxp_std', 'corrijo_bedrooms', 'surface_total', 'rooms', 'imputo_surface_covered', 'lon', 'surface_covered', 'categoria', 'bathrooms', 'sup_x_room']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_ph2Casa_filCasa_tr_mal2nan_amb_impAmbs_mal2nan_sfc_impSfc_precio_xbxmxp_impPrecio_dropOut,59549.8829438906,67668.78737841111,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2Casa': True, 'filCasa': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': True, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': False, 'dropOut': True, 'minmax': {'rooms': [1, 16], 'bedrooms': [0, 12], 'bathrooms': [1, 8], 'surface_total': [10, 1200], 'surface_covered': [10, 800], 'price': [10000, inf], 'sup_x_room': [15, 100], 'room-bed': [1, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [1000, 3500]}}"
20250528-1539,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['is_barrio_ok', 'lon', 'precio_xmxbxp_std', 'nro_publicaciones', 'bedrooms', 'imputo_surface_covered', 'inverti_sups', 'corrijo_bathrooms', 'rooms', 'categoria', 'total-cov', 'corrijo_bedrooms', 'bathrooms', 'sup_x_room', 'sfc_x_bath', 'es_PH', 'surface_covered', 'precio_estimado', 'lat', 'imputo_surface_total', 'corrijo_rooms', 'precio_xmxbxp', 'surface_total', 'room-bed']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_ph2Casa_filCasa_tr_mal2nan_amb_impAmbs_mal2nan_sfc_impSfc_precio_xbxmxp_impPrecio_precio_estimado_dropOut,60386.13846231392,92525.93882420327,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2Casa': True, 'filCasa': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': True, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': True, 'dropOut': True, 'minmax': {'rooms': [1, 16], 'bedrooms': [0, 12], 'bathrooms': [1, 8], 'surface_total': [10, 1200], 'surface_covered': [10, 800], 'price': [10000, inf], 'sup_x_room': [15, 100], 'room-bed': [1, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [1000, 3500]}}"
20250528-1544,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['sup_x_room', 'imputo_surface_total', 'surface_covered', 'imputo_surface_covered', 'precio_xmxbxp', 'surface_total', 'es_PH', 'rooms', 'corrijo_rooms', 'bedrooms', 'sfc_x_bath', 'inverti_sups', 'precio_xmxbxp_std', 'lon', 'categoria', 'corrijo_bathrooms', 'nro_publicaciones', 'total-cov', 'corrijo_bedrooms', 'lat', 'room-bed', 'is_barrio_ok', 'bathrooms']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_ph2Casa_filCasa_tr_mal2nan_amb_impAmbs_mal2nan_sfc_impSfc_precio_xbxmxp_impPrecio_dropOut,59359.61214463625,67586.16250207028,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2Casa': True, 'filCasa': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': True, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': False, 'dropOut': True, 'minmax': {'rooms': [1, 16], 'bedrooms': [0, 12], 'bathrooms': [1, 8], 'surface_total': [10, 1200], 'surface_covered': [10, 800], 'price': [10000, inf], 'sup_x_room': [15, 100], 'room-bed': [1, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [1000, 3500]}, 'otros': {'sigma': 1.5, 'diff_pm2': 4000}}"
20250528-1600,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['sfc_x_bath', 'sup_x_room', 'es_PH', 'imputo_surface_total', 'lat', 'categoria', 'lujos', 'rooms', 'room-bed', 'duplex', 'surface_total', 'precio_xmxbxp_std', 'lon', 'bathrooms', 'a_nuevo', 'is_barrio_ok', 'precio_xmxbxp', 'a_refaccionar', 'surface_covered', 'corrijo_rooms', 'corrijo_bedrooms', 'total-cov', 'bedrooms']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_ph2Casa_filCasa_tr_mal2nan_amb_impAmbs_mal2nan_sfc_impSfc_precio_xbxmxp_impPrecio_dropOut_dums,59409.55515214941,65154.56403171804,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2Casa': True, 'filCasa': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': True, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': False, 'dropOut': True, 'minmax': {'rooms': [1, 16], 'bedrooms': [0, 12], 'bathrooms': [1, 8], 'surface_total': [10, 1200], 'surface_covered': [10, 800], 'price': [10000, inf], 'sup_x_room': [15, 100], 'room-bed': [1, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [1000, 3500]}, 'otros': {'sigma': 1.5, 'diff_pm2': 4000}, 'dums': True}"
